,Location,Restaurant Name,Rating,Number of Ratings,Cuisine
0,Hyderabad,1. Deccan Pavilion,5.0 of 5 bubbles,953 reviews,"Indian, Asian"
30,Patna,1. Bansi Vihar,4.0 of 5 bubbles,165 reviews,"Indian, Asian"
60,Mumbai,1. Delhi Highway,5.0 of 5 bubbles,93 reviews,"Indian, Fast food"
90,Jaipur,1. The Rajput Room,5.0 of 5 bubbles,597 reviews,"Indian, Asian"
